hash,author_name,change_type_ck,makefile_tags,has_new_template,TAGS
af406678b310e9bb610a722640a4972d7ed05089,Leandro Dorileo,add;remove;change,mappingA;vars;rules,,#REF!
345881c4a404faf52cf365e3d7e225eadf8c5fd2,Bruno Dilly,remove;change,mappingA;vars,,#REF!
ca032af9834c3b2260738102c95f7ca1bb62d68a,Bruno Dilly,rename,rename,,#REF!
50cf9b5c14b1f978836b280761f0c992b7be0037,Gustavo Lima Chaves,remove,mappingA;vars,,#REF!
ed413406e37c501ffd4544441085d264696d162e,Bruno Dilly,change,vars,,#REF!
2e0c9fc1885d2c69f64ce5153dc658b2133aaffb,Caio Marcelo de Oliveira Filho,rename,rename,,#REF!
995bf0fb20129c93e778f5476fcada5a8d217fd9,Ulisses Furquim,add,mappingR,,#REF!
bd944073a51000ed06571f03af536bf63b274bed,Ulisses Furquim,add,mappingR,,#REF!
4b8dc998ac7a2f470eb57729e7644e44e5a8f560,Bruno Dilly,add,ifeq;mappingA,,#REF!
8240e4ca5d170d7bbdbaa598f396b967fb8f425e,Murilo Belluzzo,rename,rename,,#REF!
fa06b9ffccc14097e0dcd98c22112a3db4080698,Murilo Belluzzo,rename ,rename,,#REF!
0da99501bfe71b83eecb27d9afb49f749d8a4750,Gustavo Sverzut Barbieri,add,ifeq,,#REF!
16a4ed44fdf0bc117428626d268c0a37978f257d,Gustavo Lima Chaves,remove,mappingR,,#REF!
f45c176794c97e6438582beed250bb37b1e686d8,Flavio Ceolin,add;remove,ifeq;vars,,#REF!
627a606550fb5e39205a6a1bef10cfd409dad80d,Flavio Ceolin,add,mappingR,,#REF!
86069ea59cfcd8d4db4fa709721ac6ff87f5cf9f,Caio Marcelo de Oliveira Filho,add,mappingR,,#REF!
392a2b6bb7c20a3f0fffc3725730b3b09cf34e43,Leandro Dorileo,add;change,mappingA;vars;rules,,#REF!
8755cbfd7b62eaab2145eaf27a8b2dc758b49b42,Leandro Dorileo,add;remove;add,ifneq;vars;rules,,#REF!
31958cfd0bc3dc49f5d843c0e052621318ea7a1e,Leandro Dorileo,add;remove,mappingA;vars;rules;ifeq,,#REF!
19ecbd0095d0a8a29db71e51fa2e3f8e747a6c4f,Caio Marcelo de Oliveira Filho,change,targets,,#REF!
8629f9d6fc2914929305d2d6007bd62a54e69ac1,Leandro Dorileo,rename,rename,,#REF!
4dc76a75e609f1e08be8b99f21165170409c6c55,Ulisses Furquim,add,mappingA,,#REF!
05d921c7b82e453109f97e78ceae285c845a2351,JosĂ© Roberto de Souza,add,mappingR,,#REF!
00ec3b19ca4647fb93dd4e4394611a873c3db75d,JosĂ© Roberto de Souza,add,ifeq,,#REF!
98476250e8bda7a4b4cc530253164a294369b730,Leandro Dorileo,add,ifneq,,#REF!
f1b883a24e9d07e30090ed6a3a6eb59941352f4b,Bruno Dilly,add,ifeq;vars,,#REF!
cb95099da3305999fd366cede7b0e3fde28da629,Leandro Pereira,rename,rename,,#REF!
dc3b9dfd1275e4c734283ee3287a7a9602aa06b2,Bruno Dilly,rename,rename,,#REF!
18298786e1af206bf818e14d5526b9803cc92d0f,Leandro Dorileo,change;add,ifeq;vars,,#REF!
1de0b218c9233a185b80f14c1594d8ae893aa0af,Bruno Dilly,rename,rename,,#REF!
b85be3ad798a5e07319d063e641f30770178e4dd,Bruno Dilly,change;add,ifeq;vars,,#REF!
f712ce3a2b78bdd17925bf64c37d67c8096b8526,Vinicius Costa Gomes,add,vars;rules,,#REF!
5bf122fe1fa4e7c5c9e571ec2952bff442a75d03,Ricardo de Almeida Gonzaga,add,mappingA,,#REF!
8f007e0b74924b51cbbd2ae8130dba1e61af4413,Ederson de Souza,add,mappingA,,#REF!
