hash,author_name,change_type_fm,kconfig_tags,change_type_ck,makefile_tags,has_new_template,TAGS
2c727429e244c074a45c0d99b8ba57ad7fb6df36,Leandro Dorileo,rename,rename,rename,rename,,#REF!
0e485bad769392e3373c005618725e43a247073c,Ulisses Furquim,move,feature,move,ifeq;mappingA,,#REF!
d86b9f94c6599ef2e8e9c855f3dfb4cfcfddc019,Bruno Dilly,add;change,feature;menu,add;remove;change,mappingA;vars,,#REF!
2de4ce974f7f154da1d781a25b523632b5718fa6,Bruno Dilly,add,feature,add;new;remove,vars;mappingA;mappingR,,#REF!
761cbea6d3e414e2b86b11c8ce40fe35ccae5b04,Bruno Dilly,add,feature,add;remove;add,vars;ifeq;mappingA;mappingR,,#REF!
8d5c4d8ce4c4047817b41a1509c5b23521787411,Gustavo Sverzut Barbieri,new;add;change,menu;feature;depends;default,add;change,ifeq;vars,,#REF!
86bd1da915df30b353e147076c5517f458218940,Gustavo Lima Chaves,rename,rename,add,ifeq;vars,,#REF!
0db25d377c97e476644de1c575154f227e9e7569,Bruno Dilly,move;new,feature;depends,add;change,ifeq;mappingA;vars,,#REF!
c4fa99f2cc31d46d718e73389b4661534c0c6701,Rodrigo Chiossi,add,feature;menu,new;add,mappingA;rules;targets;vars,,#REF!
99449c9ed0b1ecc3d53ccc6b693025773184af41,JosĂ© Roberto de Souza,add,feature,add,ifeq;mappingA,,#REF!
89224f538a9bd40f43ed5c82b363c4f96d22b2e9,Leandro Dorileo,add,feature,add,mappingA;rules;vars,,#REF!
7abc555156d45e998fb7beac6279dcf7222bb3aa,Leandro Dorileo,rename,rename,rename,rename,,#REF!
82d6362448e5ca3d5764563a04f525bbafe06311,Leandro Pereira,add,feature,add,mappingA;ifeq,,#REF!
c3e1109fda7e85441f28e78e21e182da108743cb,Leandro Dorileo,add,feature;depends;menu,add,ifeq;mappingA,,#REF!
4f3c026ef41d0005da25c898038185c014ba7e08,Leandro Dorileo,add,feature,add,ifeq,,#REF!
aca3b23d5c80adb78f02b818bdf04615cc10b968,Leandro Dorileo,rename,rename,rename,rename,,#REF!
b9dc3ad401186bd7fac568101f87b750bd525dc4,Gustavo Sverzut Barbieri,add,feature,new,mappingA;ifeq,,#REF!
bab5c0767417253e56914030f9a4ced8321f4755,Murilo Belluzzo,add,feature;depends,add,mappingA;ifeq,,#REF!
75c9bb5a6f57abc262c4ea1965b3f838ad2f666b,IvĂ¡n Briano,move,feature,move;remove,mappingA;mappingR,,#REF!
c1d5b0f4a976c5ea807298f4dd1b6b8ede2ceb63,IvĂ¡n Briano,rename,rename,rename,rename,,#REF!
3fed93d07f8efd8900704119bcdd0dd60b05d5bb,IvĂ¡n Briano,remove;change,feature;depends,remove;change,ifeq;mappingA;mappingL,,#REF!
88fc6be9dc042d1be93708d3134050167e9858a4,Murilo Belluzzo,rename,rename,rename,rename,,#REF!
85f9680c317da7e664e8469b5cd4e5067f431539,Leandro Dorileo,add,feature,add,ifeq;mappingA,,#REF!
b29fad7082024e96ed5d67058830fcfda905f756,IvĂ¡n Briano,rename,rename,rename,rename,,#REF!
a84a4e6607a43571104fd9f9098cb2466aee873e,IvĂ¡n Briano,change,depends,add,ifdef,,#REF!
f392f4e94b4155d616041fd68cf107c886945f57,Gustavo Lima Chaves,rename,rename,change;add,mappingR;ifeq,,#REF!
af63bff3856e255c24a5f1db3e9a5cc9dcbc191f,Gustavo Lima Chaves,add,feature,change,ifeq,,#REF!
0b0d12fb99fd0c01393dbfe9b1f1013844926ebb,Leandro Dorileo,add,feature,add,ifeq,,#REF!
3a13473ea8d426c9783c08c6fa79157f242b2d6c,IvĂ¡n Briano,add,select,add,mappingR,,#REF!
16b7dafa5032c82e249b34affdfad41d8497345d,Gustavo Lima Chaves,add,feature,add,mappingA;mappingR,,#REF!
3e78c8713432e14df8f37aa360437bd7418c6641,Gustavo Sverzut Barbieri,add,feature,new,mappingA,,#REF!
5d828031aa0dfdfa42272ab265a149850367f895,Flavio Ceolin,add,feature,new,mappingA,,#REF!
c03a9c1fe2c078ead78accb5ea5765a42e99918a,Bruno Dilly,add,feature,new,mappingA,,#REF!
a759e556dd6e6ca108dcd7ba7652acfe415d5c49,Bruno Dilly,add,feature,new,mappingA,,#REF!
